imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
Breaking Bad,1,TV Series,No,2008,2013,9.5,"2,400,000","2,995",49,['AMC'],United States,"['Drama', 'Crime', 'Thriller']","['Sony Pictures Television', 'High Bridge Entertainment', 'Gran Via Productions']",Vince Gilligan,62,5,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'RJ Mitte', 'Dean Norris', 'Betsy Brandt', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito']","['Steven Michael Quezada', 'Charles Baker', 'Bob Odenkirk', 'Matt Jones', 'Christopher Cousins', 'Michael Shamus Wiles', 'Lavell Crawford', 'Jesse Plemons', 'Ray Campbell', 'Tina Parker', 'Carmen Serano', 'Emily Rios', 'Krysten Ritter', 'Laura Fraser', 'Mark Margolis']",['Vince Gilligan'],N.A.,"['Vince Gilligan', 'Mark Johnson', 'Michelle MacLaren']","['Stewart A. Lyons', 'Sam Catlin', 'John Shiban', 'Peter Gould', 'George Mastras', 'Thomas Schnauz', 'Melissa Bernstein', 'Diane Mercer', 'Bryan Cranston', 'Moira Walley-Beckett', 'Karen Moore', 'Patty Lin']","['Michael Slovis', 'Reynaldo Villalobos', 'Arthur Albert', 'John Toll', 'Nelson Cragg', 'Marshall Adams']","['Kelley Dixon', 'Skip Macdonald', 'Chris McCaleb', 'Sharidan Williams-Sotelo', 'Lynne Willingham']"
Planet Earth II,2,TV Mini Series,No,2016,2016,9.4,"167,000",300,298,['BBC One'],United Kingdom,"['Documentary', 'Family']","['BBC Natural History Unit', 'ZDF', 'France Télévisions', 'BBC America', 'Tencent']",N.A.,6,1,['David Attenborough'],[],N.A.,N.A.,"['Vanessa Berlowitz', 'Mike Gunton', 'James Brickell', 'Tom Hugh-Jones']",N.A.,N.A.,N.A.
Planet Earth,3,TV Mini Series,No,2006,2006,9.4,"228,000",560,42,['BBC One'],United Kingdom,['Documentary'],"['BBC', 'NHK', 'Discovery Channel']",N.A.,11,1,['David Attenborough'],[],N.A.,N.A.,N.A.,['Alastair Fothergill'],['Doug Allan'],['Martin Elsbury Andy Netley']
Band of Brothers,4,TV Mini Series,No,2001,2001,9.4,"568,000",622,60,['HBO'],United States,"['Drama', 'War']","['HBO Films', 'DreamWorks Television', 'DreamWorks Pictures', 'BBC Television Centre', 'Playtone']",N.A.,10,1,"['Damian Lewis', 'Donnie Wahlberg', 'Ron Livingston', 'Michael Cudlitz', 'Scott Grimes', 'Shane Taylor', 'Ross McCall', 'Dexter Fletcher', 'James Madio', 'Rick Gomez', 'Peter Youngblood Hills', 'Nicholas Aaron', 'Matthew Leitch']","['Philip Barantini', 'Robin Laing', 'George Calil', 'Doug Allen', 'Neal McDonough', 'Nolan Hemmings', 'Rick Warden', 'Dale Dye', 'Douglas Spain', 'Frank John Hughes', 'Michael Fassbender', 'Richard Speight Jr.', 'Craig Heaney', 'Peter McCabe', 'Kirk Acevedo']","['Tom Hanks', 'Steven Spielberg']","['Erik Jendresen', 'Tom Hanks', 'John Orloff', 'E. Max Frye', 'Graham Yost', 'Bruce C. McKenna', 'Erik Bork']","['Steven Spielberg', 'Tom Hanks']","['Gary Goetzman', 'Tony To', 'Erik Bork', 'Erik Jendresen', 'Stephen E. Ambrose', 'Mary Richards']","['Remi Adefarasin', 'Joel J. Ransom']","['Billy Fox', 'Oral Norrie Ottey', 'Frances Parker', 'John Richards']"
Chernobyl,5,TV Mini Series,No,2019,2019,9.3,"962,000",331,66,['HBO'],United States,['Drama'],"['Sister Pictures', 'The Mighty Mint', 'Word Games']",Craig Mazin,5,1,"['Jared Harris', 'Stellan Skarsgård', 'Emily Watson', 'Paul Ritter', 'Jessie Buckley', 'Adam Nagaitis', 'Sam Troughton', 'Robert Emms', ""Con O'Neill"", 'Adrian Rawlins', 'Alan Williams', 'David Dencik', 'Mark Lewis Jones', 'Ralph Ineson', 'Barry Keoghan', 'Alex Ferns', 'Fares Fares', 'Michael McElhatton']","['Laura Elphinstone', 'Michael Socha', 'Karl Davies', 'Jan Ričica', 'Nadia Clifford', 'Ron Cook', 'Donald Sumpter', 'Philip Barantini', 'Oscar Dyekjær Giese', 'Baltasar Breki Samper', 'Gerard Kearns', 'Povilas Jatkevičius', 'Darius Petkevičius', 'Amanda Drew', 'Jamie Sives']",['Craig Mazin'],['Craig Mazin'],"['Craig Mazin', 'Carolyn Strauss', 'Jane Featherstone']",['Sanne Wohlenberg'],['Jakob Ihre'],"['Jinx Godfrey', 'Simon Smith']"
The Wire,6,TV Series,No,2002,2008,9.3,"405,000","3,598",60,['HBO'],United States,"['Drama', 'Crime']","['Blown Deadline Productions', 'HBO']",David Simon,60,5,"['Dominic West', 'Lance Reddick', 'Sonja Sohn', 'Wendell Pierce', 'Deirdre Lovejoy', 'John Doman', 'Andre Royo', 'Frankie Faison', 'Wood Harris', 'Idris Elba', 'Clarke Peters', 'Michael Kenneth Williams', 'J.D. Williams', 'Aidan Gillen', 'Seth Gilliam', 'Domenick Lombardozzi', 'Corey Parker Robinson', 'Jim True-Frost', 'Robert Wisdom', 'Jamie Hector', 'Reg E. Cathey', 'Lawrence Gilliard Jr.', 'Glynn Turman', 'Chad L. Coleman', 'Paul Ben-Victor', 'Amy Ryan', 'Chris Bauer', 'Isiah Whitlock, Jr.', 'Michael Kostroff', 'Clark Johnson', 'Tom McCarthy', 'Gbenga Akinnagbe', 'Neal Huff', 'Jermaine Crawford', 'Tristan Mack Wilds', 'Michelle Paress']","['Delaney Williams', 'Domenick Lombardozzi', 'Jim True-Frost', 'Seth Gilliam', 'Tray Chaney', 'J.D. Williams', 'Gbenga Akinnagbe', 'Felicia Pearson', 'Isiah Whitlock, Jr.', 'Michael Kenneth Williams', 'Melanie Nicholls-King', 'Michael Salconi', 'Michael Kostroff', 'Leo Fitzpatrick', 'Hassan Johnson']",['David Simon'],N.A.,"['David Simon', 'Robert F. Colesberry', 'Nina Kostroff Noble']","['Karen L. Thorson', 'Ed Burns', 'Joe Chappelle', 'George Pelecanos', 'Eric Overmyer']",N.A.,N.A.
Avatar: The Last Airbender,7,TV Series,No,2005,2008,9.3,"412,000","1,496",24,['Nickelodeon'],United States,"['Action', 'Adventure', 'Fantasy', 'Animation']","['Nickelodeon Animation Studio', 'JM Animation', 'DR Movie', 'Moi Animation', 'Nickelodeon Productions']",Bryan Konietzko,61,3,"['Zach Tyler Eisen', 'Mae Whitman', 'Jack De Sena', 'Dante Basco', 'Dee Bradley Baker', 'Jessie Flower', 'Mako']","['Grey DeLisle', 'Cricket Leigh', 'André Sogliuzzo', 'Olivia Hack', 'Jim Meskimen', 'Mark Hamill', 'Jennie Kwan', 'Greg Baldwin', 'Dee Bradley Baker', 'James Garrett', 'Scott Menville', 'Jason Isaacs', 'James Sie', 'Kevin Michael Richardson', 'Zachary Throne']","['Michael Dante DiMartino', 'Bryan Konietzko']",N.A.,"['Michael Dante DiMartino', 'Bryan Konietzko', 'Aaron Ehasz']",N.A.,N.A.,N.A.
The Sopranos,8,TV Series,No,1999,2007,9.2,"535,000","4,656",55,['HBO'],United States,"['Drama', 'Crime']",['HBO'],David Chase,86,6,"['James Gandolfini', 'Edie Falco', 'Jamie-Lynn Sigler', 'Robert Iler', 'Lorraine Bracco', 'Michael Imperioli', 'Steven Van Zandt', 'Tony Sirico', 'Dominic Chianese', 'Aida Turturro', 'Drea de Matteo', 'Steve Schirripa', 'Nancy Marchand', 'Vincent Pastore', 'Federico Castelluccio']","['Dan Grimaldi', 'Joseph R. Gannascoli', 'John Ventimiglia', 'Sharon Angela', 'Vincent Curatola', 'Frank Vincent', 'Arthur J. Nascarella', 'Max Casella', 'Maureen Van Zandt', 'Jerry Adler', 'Matt Servitto', 'Carl Capotorto', 'Robert Funaro', 'Tom Aldredge', 'Suzanne Shepherd']",['David Chase'],N.A.,"['David Chase', 'Brad Grey', 'Robin Green', 'Mitchell Burgess', 'Ilene S. Landress', 'Terence Winter', 'Matthew Weiner']",N.A.,"['Alik Sakharov', 'Phil Abraham']","['Sidney Wolinsky', 'William B. Stich', 'Conrad M. Gonzalez']"
Blue Planet II,9,TV Mini Series,No,2017,2017,9.3,"52,700",368,60,['BBC One'],United Kingdom,"['Documentary', 'Family']","['BBC Natural History Unit', 'BBC America', 'Tencent', 'Westdeutscher Rundfunk', 'France Télévisions', 'CCTV']",N.A.,7,1,['David Attenborough'],[],N.A.,N.A.,"['James Honeyborne', 'Mark Brownlow']","['Miles Barton', 'Orla Doherty', 'Kathryn Jeffs', 'Will Ridgeon', 'John Ruthven', 'Jonathan Smith']",N.A.,N.A.
Cosmos: A Spacetime Odyssey,10,TV Mini Series,No,2014,2014,9.2,"134,000","1,137",60,"['FOX', 'National Geographic']",United States,['Documentary'],"['Fuzzy Door Productions', 'Cosmos Studios']",Ann Druyan,26,2,"['Neil deGrasse Tyson', 'Ann Druyan']","['Carl Sagan', 'Seth MacFarlane', 'Neil deGrasse Tyson', 'Brannon Braga', 'Sasha Sagan', 'Stoney Emshwiller', 'Piotr Michael', 'André Sogliuzzo', 'Christopher Emerson', 'Keythe Farley', 'Enn Reitel', 'Patrick Stewart', 'Elizardo Torrez', 'Trang Vo', 'John Steven Rocha']",N.A.,"['Ann Druyan', 'Brannon Braga']","['Seth MacFarlane', 'Ann Druyan', 'Brannon Braga', 'Jason Clark']","['Kara Vallow', 'Joseph Micucci']",['Karl Walter Lindenlaub'],N.A.
Cosmos,11,TV Mini Series,No,1980,1980,9.3,"48,200",780,60,['PBS'],United States,['Documentary'],"['KCET', 'Carl Sagan Productions']",Carl Sagan,13,1,['Carl Sagan'],[],"['Carl Sagan', 'Ann Druyan', 'Steven Soter']",N.A.,N.A.,"['Gregory Andorfer', 'Rob McCain']",N.A.,N.A.
Our Planet,12,TV Series,No,2019,2023,9.2,"56,600",601,50,['Netflix'],United Kingdom,"['Documentary', 'Action', 'Adventure']","['Silverback Films', 'WWF-UK']",N.A.,12,2,['David Attenborough'],[],N.A.,N.A.,"['Alastair Fothergill', 'Keith Scholey', 'Colin Butfield']",N.A.,N.A.,N.A.
Game of Thrones,13,TV Series,No,2011,2019,9.2,"2,500,000","4,232",42,['HBO'],United States,"['Fantasy', 'Drama', 'Action', 'Adventure']","['Revolution Sun Studios', 'Television 360', 'Generator Entertainment', 'Bighead Littlehead']",D. B. Weiss,73,8,"['Peter Dinklage', 'Kit Harington', 'Emilia Clarke', 'Maisie Williams', 'Isaac Hempstead Wright', 'Sophie Turner', 'Nikolaj Coster-Waldau', 'Lena Headey', 'Liam Cunningham', 'John Bradley', 'Iain Glen', 'Aidan Gillen', 'Alfie Allen', 'Rory McCann', 'Jacob Anderson', 'Conleth Hill', 'Jerome Flynn', 'Gwendoline Christie', 'Stephen Dillane', 'Carice van Houten', 'Natalie Dormer', 'Kristofer Hivju', 'Richard Madden', 'Michelle Fairley', 'Charles Dance', 'Jack Gleeson', 'Sibel Kekilli', 'Nathalie Emmanuel', 'Michiel Huisman', 'Hannah Murray', 'Rose Leslie', 'Tom Wlaschiha', 'Indira Varma', 'Joe Dempsie', 'Sean Bean', 'Mark Addy', 'Harry Lloyd', 'Jonathan Pryce', 'Dean-Charles Chapman', 'James Cosmo', 'Michael McElhatton']","['Daniel Portman', 'Ben Crompton', 'Julian Glover', 'Anton Lesser', 'Ian McElhinney', 'Mark Stanley', 'Kristian Nairn', 'Nathalie Emmanuel', 'Owen Teale', 'Finn Jones', 'Iwan Rheon', 'Diana Rigg', 'Ellie Kendrick', 'Michael McElhatton', 'Donald Sumpter']","['David Benioff', 'D. B. Weiss']",N.A.,"['David Benioff', 'D. B. Weiss', 'George R. R. Martin', 'Carolyn Strauss', 'Frank Doelger', 'Bernadette Caulfield', 'Bryan Cogman', 'Miguel Sapochnik', 'David Nutter']","['Mark Huffam', 'Joanna Burn', 'Chris Newman', 'Greg Spence', 'Lisa McAtackney', 'Duncan Muggoch']",N.A.,N.A.
Bluey,14,TV Series,Yes,2018,,9.3,"40,100","1,096",7,['ABC KIDS'],Australia,"['Animation', 'Children', 'Comedy']","['Ludo Studio', 'Australian Broadcasting Corporation', 'Screen Australia', 'Screen Queensland', 'BBC CBeebies', 'BBC Worldwide', 'BBC Studios Distribution']",Joe Brumm,153,3,"['Dave McCormack', 'Melanie Zanetti']","['Brad Elliott', 'Dan Brumm', 'Charlotte Stent', 'Myf Warhurst', 'Megan Washington', 'Jack Simmons', 'Samson Hyland', 'Chris Brumm', 'Daley Pearson', 'Rich Jeffery', 'Leigh Sales', 'Emily Taheny', 'Patrick Brammall', ""Claudia O'Doherty"", 'Lawrie Newman']",['Joe Brumm'],['Joe Brumm'],"['Michael Carrington', 'Libbie Doherty', 'Henrietta Hurford-Jones', 'Charlie Aspinwall', 'Daley Pearson']",['Sam Moor'],N.A.,N.A.
The World at War,15,TV Series,No,1973,1974,9.2,"33,200","1,443",60,['ITV'],United Kingdom,"['Documentary', 'War']","['Thames Television', 'Blakeway Productions']",N.A.,26,1,['Laurence Olivier'],[],['Jeremy Isaacs'],N.A.,N.A.,['Thames Television'],N.A.,N.A.
Fullmetal Alchemist: Brotherhood,16,TV Series,No,2009,2010,9.1,"225,000","1,600",25,"['MBS', 'TBS', 'CBC', 'Shizuoka Broadcasting System', 'Tulip Television', 'SBC', 'BSN', 'tys', 'NBC', 'HBC', 'RKK Kumamoto Broadcasting', 'i-Television', 'IBC Iwate Broadcasting', 'Broadcasting System of San-in', 'Hokuriku Broadcasting', 'Oita Broadcasting System', 'TV-U Fukushima', 'RSK Sanyo Broadcasting', 'TV-U Yamagata', 'Tohoku Broadcasting', 'RKB', 'TV Kochi Broadcasting', 'Ryukyu Broadcasting', 'TV Yamanashi', 'RCC', 'MRT Miyazaki Broadcasting', 'ATV', 'MBC South Japan Broadcasting']",Japan,"['Action', 'Adventure', 'Anime', 'Fantasy', 'Drama']","['Aniplex', 'Square Enix', 'BONES', 'Mainichi Broadcasting System (MBS)', 'Techno Sound']",N.A.,64,1,"['Romi Park', 'Rie Kugimiya', 'Shin-ichiro Miki', 'Fumiko Orikasa', 'Megumi Takamoto']","['Iemasa Kayumi', 'Kenta Miyake', 'Yuki Hayashi', 'Mai Gotou', 'Hidekatsu Shibata', 'Kenji Utsumi', 'Mamoru Miyano', 'Biichi Sato', 'Takashi Hikida', 'Minami Takayama', 'Masayuki Omoro', 'Yoko Soumi', 'Masuo Amada', 'Hiroyuki Yoshino', 'Kazuki Yao']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Life,17,TV Mini Series,No,2009,2009,9.1,"45,900",581,50,['BBC One'],United Kingdom,['Documentary'],['BBC'],Martha Holmes,10,1,"['David Attenborough', 'Oprah Winfrey']",[],N.A.,N.A.,['Mike Gunton'],N.A.,N.A.,N.A.
The Last Dance,18,TV Mini Series,No,2020,2020,9.0,"166,000",505,50,['ESPN'],United States,['Documentary'],"['ESPN Films', 'Jump 23', 'Mandalay Sports Media (MSM)', 'NBA Entertainment']",Michael Tollin,10,1,"['Michael Jordan', 'Scottie Pippen', 'Dennis Rodman', 'Steve Kerr', 'Phil Jackson']","['Deloris Jordan', 'John Paxson', 'David Stern', 'Sam Smith', 'Isiah Thomas', 'Horace Grant', 'Jerry Reinsdorf', 'Bill Cartwright', 'Magic Johnson', 'Patrick Ewing', 'Barack Obama', 'Larry Bird', 'Carmen Electra', 'John Salley', 'Doug Collins']",N.A.,N.A.,N.A.,"['Michael Tollin', 'Jon Weinbach', 'Peter Guber', 'Curtis Polk', 'Estee Portnoy', 'Andy Thompson', 'Gregg Winik', 'Connor Schell', 'John Dahl', 'Jason Hehir', 'Nina Krstic', 'Matt Maxson', 'Jacob Rogal']","['Thomas McCallum', 'Vincent Guglielmina', 'Michael Winik', 'Peter Winik']","['Chad Beck', 'Devin Concannon', 'Abhay Sofsky', 'Ben Sozanski']"
Attack on Titan,19,TV Series,No,2013,2023,9.1,"631,000","2,087",24,"['MBS', 'Tokyo MX', 'NHK G']",Japan,"['Fantasy', 'Anime', 'Action', 'Adventure']","['Production I.G', 'MAPPA', 'Wit Studio', 'Pony Canyon Enterprises', 'Techno Sound', 'Kodansha', 'Dentsu', 'Mainichi Broadcasting System (MBS)', 'Pony Canyon Enterprise']",N.A.,87,4,"['Yuki Kaji', 'Yui Ishikawa', 'Marina Inoue', 'Kisho Taniyama', 'Hiro Shimono', 'Takehito Koyasu', 'Yu Kobayashi', 'Yoshimasa Hosoya', 'Romi Park', 'Ayane Sakura', 'Natsuki Hanae', 'Tomohisa Hashizume', 'Shiori Mikami']","['Daisuke Ono', 'Hiroshi Kamiya', 'Masahiko Tanaka', 'Rintaro Nishi', 'Yu Shimamura', 'Shigeyuki Susaki', 'Shiori Mikami', 'Yoshimasa Hosoya', 'Romi Park', 'Ryota Osaka', 'Saki Fujita', 'Kensho Ono', 'Marina Inoue', 'Kazuhiro Fusegawa', 'Hiroshi Tsuchida']",N.A.,N.A.,"['Keiichi Hosoji', 'Masaki Endō']","['Tetsuya Kinoshita', 'Kensuke Tateishi', 'Toshihiro Maeda', 'Shin Furukawa', 'Tomohito Nagase', 'George Wada', 'Tetsuya Endō', 'Yasuyuki Nishiya', 'Sōya Kiyota', 'Hitoshi Itō', 'Makoto Kimura', 'Yasuo Onori']","['Kazuhiro Yamada ( S1–3', 'Shigeki Asakawa']",N.A.
Rick and Morty,20,TV Series,Yes,2013,,9.0,"661,000","1,834",22,['Adult Swim'],United States,"['Animation', 'Comedy', 'Fantasy', 'Science Fiction', 'Action', 'Adventure']","['Williams Street', 'Harmonius Claptrap', ""Justin Roiland's Solo Vanity Card Productions"", 'Starburns Industries', 'Green Portal Productions']",Justin Roiland,81,8,"['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke', 'Justin Roiland', 'Ian Cardoni', 'Harry Belden']","['Kari Wahlgren', 'Dan Harmon', 'Tom Kenny', 'Maurice LaMarche', 'Ryan Ridley', 'Nolan North', 'Brandon Johnson', 'Rob Schrab', 'Nick Reczynski', 'Cassie Steele', 'Echo Kellum', 'Justin Roiland', 'Keith David', 'Eric Bauza', 'Phil Hendrie']","['Justin Roiland', 'Dan Harmon']",N.A.,"['Dan Harmon', 'Justin Roiland', 'James A. Fino', 'Joe Russo II', 'Mike McMahan', 'Scott Marder', 'Steve Levy', 'Albro Lundy', 'James Siciliano', 'Monica Mitchell']","['J. Michael Mendel', 'Kenny Micka']",N.A.,N.A.
The Twilight Zone,21,TV Series,No,1959,1964,9.0,"102,000","4,536",25,['CBS'],United States,"['Drama', 'Mystery', 'Fantasy', 'Science Fiction', 'Horror']","['Cayuga Productions', 'Columbia Broadcasting System (CBS)']",Rod Serling,156,5,['Rod Serling'],"['Robert McCord', 'Jay Overholts', 'Vaughn Taylor', 'John Anderson', 'Jon Lormer', ""J. Pat O'Malley"", 'Burgess Meredith', 'Jack Klugman', 'S. John Launer', 'Bernard Sell', 'Cyril Delevanti', 'Barney Phillips', 'George Mitchell', 'John McLiam', 'Gene Coogan']",['Rod Serling'],N.A.,['Rod Serling'],"['Buck Houghton', 'Herbert Hirschman', 'Bert Granet', 'William Froug']",['George T. Clemens'],N.A.
The Vietnam War,22,TV Mini Series,No,2017,2017,9.1,"31,000","1,013",990,['PBS'],United States,"['Documentary', 'War']","['Florentine Films', 'WETA']",N.A.,10,1,['Peter Coyote'],"['Hồ Chí Minh', 'Karl Marlantes', 'Max Cleland', 'Bao Ninh', 'Tran Ngoc Toan', 'Lam Quang Thi', 'John Musgrave', 'Duong Van Mai', 'Mike Heaney', 'Donald Gregg', 'Bui Diem', 'Dong Si Nguyen', 'Nguyen Van Tong', 'George Wickes', 'Nguyen Thoi Bung']",N.A.,['Geoffrey C. Ward'],N.A.,['Sarah Botstein Lynn Novick Ken Burns'],['Buddy Squires'],['Tricia Reidy Paul Barnes Erik Ewers Craig Mellish']
Sherlock,23,TV Series,No,2010,2017,9.0,"1,100,000","1,066",90,['BBC One'],United Kingdom,"['Drama', 'Crime', 'Mystery']","['Hartswood Films', 'BBC Wales', 'Masterpiece Theatre']",Steven Moffat,12,4,"['Benedict Cumberbatch', 'Martin Freeman']","['Una Stubbs', 'Rupert Graves', 'Louise Brealey', 'Mark Gatiss', 'Andrew Scott', 'Jonathan Aris', 'Amanda Abbington', 'Martin Freeman', 'Benedict Cumberbatch', 'Tanya Moodie', 'Lara Pulver', 'Vinette Robinson', 'Lars Mikkelsen', 'Lindsay Duncan', 'Sian Brooke']","['Mark Gatiss', 'Steven Moffat']","['Mark Gatiss', 'Steven Moffat', 'Stephen Thompson']","['Mark Gatiss', 'Steven Moffat', 'Beryl Vertue', 'Rebecca Eaton', 'Bethan Jones', 'Sue Vertue']","['Sue Vertue', 'Elaine Cameron']","['Fabian Wagner', 'Steve Lawes']","['Charlie Phillips', 'Mali Evans', 'Tim Porter', 'Yan Miles']"
Batman: The Animated Series,24,TV Series,No,1992,1995,9.0,"129,000","1,870",42,"['FOX', 'Fox Kids']",United States,"['Animation', 'Drama', 'Mystery', 'Action', 'Adventure', 'Superhero']","['DC Comics', 'Warner Bros. Television']",Eric Radomski,85,4,"['Kevin Conroy', 'Efrem Zimbalist Jr.', 'Bob Hastings', 'Loren Lester']","['Mari Devon', 'Robert Costanzo', 'Mark Hamill', 'Richard Moll', 'Loren Lester', 'John Vernon', 'Arleen Sorkin', 'Lloyd Bochner', 'Brock Peters', 'Diane Pershing', 'Adrienne Barbeau', 'Paul Williams', 'Ingrid Oliu', 'Neil Ross', 'Aron Kincaid']",['Eric Radomski Bruce W. Timm'],"['Sean Catherine Derek', 'Martin Pasko', 'Paul Dini', 'Michael Reaves', 'Randy Rogel', 'Brynne Stephens']",['Jean MacCurdy Tom Ruegger'],"['Alan Burnett', 'Paul Dini', 'Eric Radomski', 'Bruce W. Timm']",N.A.,N.A.
Better Call Saul,25,TV Series,No,2015,2022,9.0,"747,000","3,178",46,['AMC'],United States,"['Drama', 'Crime']","['Sony Pictures Television', 'High Bridge Entertainment', 'Gran Via Productions', 'Crystal Diner']",Vince Gilligan,63,6,"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian', 'Michael Mando', 'Giancarlo Esposito', 'Michael McKean', 'Tony Dalton']","['Mark Margolis', 'Kerry Condon', 'Jeremiah Bitsui', 'Ray Campbell', 'Cara Pifko', 'Dennis Boutsikaris', 'Ed Begley Jr.', 'Josh Fadem', 'Julian Bonfiglio', 'Tina Parker', 'Peter Diseth', 'Rex Linn', 'Vincent Fuentes', 'John Christian Love', 'Javier Grajeda']","['Vince Gilligan', 'Peter Gould']",N.A.,"['Vince Gilligan', 'Peter Gould', 'Mark Johnson', 'Melissa Bernstein', 'Thomas Schnauz', 'Gennifer Hutchison', 'Diane Mercer', 'Alison Tatlock', 'Michael Morris']","['Bob Odenkirk', 'Nina Jack', 'Diane Mercer', 'Robin Sweet', 'Gordon Smith', 'Jonathan Glatzer']","['Arthur Albert', 'Marshall Adams', 'Paul Donachie']","['Kelley Dixon', 'Skip Macdonald', 'Chris McCaleb', 'Curtis Thurber']"
Arcane,26,TV Series,No,2021,2024,9.0,"405,000",758,42,['Netflix'],United States,"['Adventure', 'Animation', 'Fantasy', 'Action', 'Science Fiction', 'Drama']","['Fortiche Production', 'Riot games']",Alex Yee,18,2,"['Hailee Steinfeld', 'Ella Purnell', 'Kevin Alejandro', 'Jason Spisak']","['Toks Olagundoye', 'Harry Lloyd', 'Katie Leung', 'JB Blanc', 'Brett Tucker', 'Amirah Vann', 'Reed Shannon', 'Josh Keaton', 'Mia Sinclair Jenness', 'Remy Hii', 'Ellen Thomas', 'Mick Wingert', 'Kevin Alejandro', 'Abigail Marlowe', 'Dave B. Mitchell']","['Christian Linke', 'Alex Yee']",N.A.,"['Christian Linke', 'Marc Merrill', 'Brandon Beck', 'Jane Chung', 'Thomas Vu']",N.A.,N.A.,N.A.
The Office,27,TV Series,No,2005,2013,9.0,"784,000","4,463",42,['NBC'],United States,['Comedy'],"['Universal Television', 'Deedle-Dee Productions', 'Reveille Productions', 'Shine America', 'Universal Media Studios (UMS)']",Greg Daniels,186,9,"['Rainn Wilson', 'John Krasinski', 'Jenna Fischer', 'B.J. Novak', 'Steve Carell', 'Ed Helms', 'James Spader']","['Creed Bratton', 'Kate Flannery', 'Leslie David Baker', 'Brian Baumgartner', 'Phyllis Smith', 'Oscar Nuñez', 'Angela Kinsey', 'Mindy Kaling', 'Paul Lieberstein', 'Craig Robinson', 'Ellie Kemper', 'Ed Helms', 'Zach Woods', 'Melora Hardin', 'Andy Buckley']",N.A.,N.A.,"['Ben Silverman', 'Greg Daniels', 'Ricky Gervais', 'Stephen Merchant', 'Howard Klein', 'Ken Kwapis', 'Paul Lieberstein', 'Jennifer Celotta', 'B. J. Novak', 'Mindy Kaling', 'Brent Forrester', 'Dan Sterling']","['Kent Zbornak', 'Michael Schur', 'Steve Carell', 'Lee Eisenberg', 'Gene Stupnitsky', 'Randy Cordray', 'Justin Spitzer', 'Charlie Grandy', 'Warren Lieberstein', 'Halsted Sullivan', 'Steve Hely', 'David Rogers', 'Aaron Shure', 'Steve Burgess', 'Jenna Fischer', 'Ed Helms', 'John Krasinski', 'Rainn Wilson', 'Graham Wagner']","['Randall Einhorn', 'Matt Sohn', 'Sarah Levy', 'Peter Smokler']","['David Rogers', 'Dean Holland', 'Claire Scanlon']"
The Blue Planet,28,TV Series,No,2001,2001,9.0,"46,200",400,51,['BBC One'],United Kingdom,['Documentary'],"['Discovery Channel', 'BBC', 'BBC Television Centre']",Andy Byatt,8,1,['David Attenborough'],[],N.A.,N.A.,['Alastair Fothergill'],N.A.,N.A.,N.A.
Clarkson's Farm,29,TV Series,Yes,2021,,9.0,"74,800","1,525",48,['Amazon'],United Kingdom,"['Reality', 'Comedy']","['Expectation Entertainment', 'Con Dao Productions']",N.A.,32,4,"['Jeremy Clarkson', 'Kaleb Cooper', 'Charlie Ireland', 'Lisa Hogan']","['Gerald Cooper', 'Alan Townsend', 'Dilwyn Evans', 'Lisa Hogan', 'Ellen Helliwell', 'Kevin Harrison', 'Tim Coles', 'Paddy Bourns', 'Harriet Cowan', 'Georgia Craig', 'Andrew Cato', 'Katy Coles', 'Steph Bourns', 'Emma Ledbury', 'Annie Gray']",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
Scam 1992: The Harshad Mehta Story,30,TV Mini Series,No,2020,2020,9.2,"165,000",527,55,['Sony Liv'],India,"['Crime', 'Drama']",['Applause Entertainment Ltd.'],Hansal Mehta,10,1,"['Pratik Gandhi', 'Shreya Dhanwanthary', 'Anjali Barot', 'Hemant Kher', 'Chirag Vohra', 'Jay Upadhyay', 'Satish Kaushik', 'K.K. Raina', 'Ramakant Dayma', 'Kumkum Das', 'Brinda Trivedi', 'Ananth Narayan Mahadevan', 'Nikhil Dwivedi', 'Sharib Hashmi', 'Rajat Kapoor', 'Kavin Dave', 'Paresh Ganatra', 'Faisal Rashid', 'Shadaab Khan', 'Ivan Rodrigues']",[],N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
