imdb_title,imdb_rank_toptv,imdb_series_type,imdb_ongoing,imdb_year_start,imdb_year_end,trakt_rating_imdb,trakt_vote_count_imdb,trakt_full_runtime_min,trakt_avg_ep_runtime_min,trakt_networks,trakt_country_of_origin,trakt_genres,trakt_studios,trakt_creators,trakt_num_of_episodes,trakt_num_of_seasons,trakt_series_regulars,trakt_guest_stars,wiki_created_by,wiki_written_by,wiki_executive_producers,wiki_producers,wiki_cinematography,wiki_editors
Six Feet Under,92,TV Series,No,2001,2005,8.7,"160,000","3,381",55,['HBO'],United States,['Drama'],"['HBO', 'The Greenblatt Janollari Studio', 'Actual Size Films']",Alan Ball,63,5,"['Peter Krause', 'Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose', 'Freddy Rodríguez', 'Mathew St. Patrick', 'Rachel Griffiths', 'Ben Foster', 'Lili Taylor', 'Justina Machado', 'Tina Holmes', 'James Cromwell']","['Jeremy Sisto', 'Justina Machado', 'Bronwyn Tosh', 'Brenna Tosh', 'Richard Jenkins', 'Joanna Cassidy', 'Peter Macdissi', 'Rainn Wilson', 'Eric Balfour', 'Sprague Grayden', 'Ben Foster', 'Lili Taylor', 'Kathy Bates', 'Aysia Polk', 'Justin Theroux']",['Alan Ball'],N.A.,"['Alan Ball', 'Robert Greenblatt', 'David Janollari', 'Alan Poul', 'Bruce Eric Kaplan', 'Rick Cleveland']",N.A.,N.A.,N.A.
Berserk,93,TV Series,No,1997,1998,8.7,"67,200",597,23,['NTV'],Japan,"['Action', 'Adventure', 'Anime', 'Fantasy']","['OLM', 'VAP', 'Hakusensha', 'Nippon Television Network Corporation (NTV)', 'Media Blasters']",N.A.,25,1,"['Nobutoshi Canna', 'Toshiyuki Morikawa', 'Yuko Miyamura', 'Tomohiro Nishimura', 'Unsho Ishizuka']","['Shouto Kashii', 'Masahito Kawanago', 'Ryuji Mizuno', 'Eiji Sekiguchi', 'Toshiko Sawada', 'Tamio Ohki', 'Ikuya Sawaki', 'Yasuyuki Kase', 'Hideto Ebihara', 'Akiko Yajima', 'Masaaki Tsukada', 'Kazuhiro Nakata', 'Masayuki Nakata', 'Kenji Nomura', 'Hiroyuki Yokoo']",N.A.,N.A.,N.A.,"['Mitsuru Ōshima', 'Azuma Urata', 'Kinya Yokoegawa & Shigetarō Hara']",N.A.,N.A.
Rome,94,TV Series,No,2005,2007,8.7,"197,000","1,178",50,['HBO'],United States,"['Drama', 'Action', 'Adventure']",['BBC'],John Milius,22,2,"['Kevin McKidd', 'Ray Stevenson', 'Ciarán Hinds', 'James Purefoy', 'Polly Walker', 'Tobias Menzies', 'Lindsay Duncan', 'Nicholas Woodeson', 'Kerry Condon', 'David Bamber', 'Max Pirkis', 'Chiara Mastalli', 'Lee Boardman', 'Ian McNeice', 'Manfredi Aliquò', 'Kenneth Cranham', 'Indira Varma', 'Simon Woods', 'Tommaso Sacco']","['Allen Leech', 'Zuleikha Robinson', 'Michael Nardone', 'Camilla Rutherford', 'Guy Henry', 'Daniel Cerqueira', 'Lyndsey Marshal', 'Ronan Vibert', 'Lorcan Cranitch', 'Anna Patrick', 'Maxim Baldry', 'Rafi Gavron', 'Alice Henley', 'Roger Hammond', 'Ted Rusoff']","['John Milius', 'William J. MacDonald', 'Bruno Heller']",N.A.,"['Bruno Heller', 'John Melfi', 'Anne Thomopoulos', 'William J. MacDonald', 'John Milius']",N.A.,"['Alik Sakharov , ASC', 'Martin Kenzie', 'Marco Pontecorvo']",N.A.
Oz,95,TV Series,No,1997,2003,8.7,"112,000","3,239",55,['HBO'],United States,"['Drama', 'Crime']","['The Levinson/Fontana Company', 'Rysher Entertainment']",Tom Fontana,56,6,"['Lee Tergesen', 'Harold Perrineau', 'Dean Winters', 'Eamonn Walker', 'Ernie Hudson', 'Terry Kinney', 'Rita Moreno', 'J.K. Simmons', 'Kirk Acevedo', 'Craig muMs Grant', 'BD Wong', 'Tom Mardirosian', 'Christopher Meloni', 'Adewale Akinnuoye-Agbaje', 'Scott William Winters']","['Otto Sanchez', 'Carl DiMaggio', 'Chuck Zito', 'Cyrus Farmer', 'J.D. Williams', 'Jerome Preston Bates', 'Blake Robbins', 'Rohan Quine', 'George Morfogen', 'Tim Hopper', 'Adewale Akinnuoye-Agbaje', 'Dena Atlantic', 'Scott William Winters', 'Jordan Lage', 'Andy Powers']",['Tom Fontana'],['Tom Fontana'],"['Tom Fontana', 'Barry Levinson', 'Jim Finnerty']","['Debbie Sarjeant', 'Mark A. Baker', 'Irene Burns', 'Bridget Potter', 'Jorge Zamacona', 'Greer Yeaton']","['Alex Zakrzewski', 'Jean de Segonzac', 'Craig DiBona', 'Glenn Kershaw']","['Sue Blainey', 'Cindy Mollo', 'Vanessa Procopio', 'Jay Pires', 'James Y. Kwei', 'Ken Eluto', 'Deborah Moran']"
X-Men '97,96,TV Series,Yes,2024,,8.7,"46,500",343,42,['Disney+'],United States,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",['Marvel Studios'],N.A.,10,1,[],"['George Buza', 'Holly Chou', 'Jennifer Hale', 'JP Karliak', 'Ray Chase', 'Alison Sealy-Smith', 'Cal Dodd', 'Lenore Zann', 'Matthew Waterson', 'Ross Marquand', 'Gui Agustini', 'Terri Douglas', 'Arthur Ortiz', 'Catherine Disher', 'Robin Atkin Downes']",['Beau DeMayo'],N.A.,"['Beau DeMayo', 'Victoria Alonso', ""Louis D'Esposito"", 'Kevin Feige', 'Brad Winderbaum', 'Matthew Chauncey']","['Danielle Costa', 'Sean Gantka']",N.A.,"['Michelle McMillan', 'Asher Lewis']"
Dark,97,TV Series,No,2017,2020,8.7,"499,000","1,465",42,['Netflix'],Germany,"['Drama', 'Mystery', 'Science Fiction']",['Wiedemann & Berg Television'],Jantje Friese,26,3,"['Louis Hofmann', 'Lisa Vicari', 'Andreas Pietschmann', 'Maja Schöne', 'Stephan Kampwirth', 'Paul Lux', 'Jördis Triebel', 'Karoline Eichhorn']","['Oliver Masucci', 'Moritz Jahn', 'Peter Benedict', 'Gina Stiebitz', 'Deborah Kaufmann', 'Lisa Vicari', 'Daan Lennard Liebrenz', 'Carlotta von Falkenhayn', 'Julika Jenkins', 'Andreas Pietschmann', 'Dietrich Hollinderbäumer', 'Maja Schöne', 'Mark Waschke', 'Leopold Hornung', 'Stephan Kampwirth']","['Baran bo Odar', 'Jantje Friese']","['Jantje Friese', 'Ronny Schalk', 'Marc O. Seng', 'Martin Behnke', 'Daphne Ferraro']","['Justyna Müsch', 'Jantje Friese', 'Quirin Berg', 'Max Wiedemann', 'Abraham Davies']",N.A.,['Nikolaus Summerer'],N.A.
Fleabag,98,TV Series,No,2016,2019,8.7,"227,000",298,27,"['BBC Three', 'BBC One']",United Kingdom,"['Comedy', 'Drama']",['Two Brothers Pictures'],Phoebe Waller-Bridge,12,2,"['Phoebe Waller-Bridge', 'Sian Clifford', 'Jenny Rainsford', 'Andrew Scott']","['Olivia Colman', 'Bill Paterson', 'Brett Gelman', 'Hugh Skinner', 'Ben Aldridge', 'Hugh Dennis', 'Jenny Rainsford', 'Jo Martin', 'Jamie Demetriou', 'Anthony Welsh', 'Kae Alexander', 'David Hargreaves', 'Ray Fearon', 'Angus Imrie', 'Christian Hillborg']",['Phoebe Waller-Bridge'],['Phoebe Waller-Bridge'],"['Phoebe Waller-Bridge', 'Harry Williams Jack Williams', 'Harry Bradbeer', 'Lydia Hampson', 'Joe Lewis']","['Lydia Hampson', 'Sarah Hammond']","['Tony Miller', 'Laurie Rose']","['Gary Dollner', 'Paul Machliss']"
The Shield,99,TV Series,No,2002,2008,8.7,"92,900","4,189",45,['FX'],United States,"['Drama', 'Action', 'Adventure', 'Crime']","['Fox Television Studios', 'Sony Pictures Television', 'Columbia TriStar Television', 'MiddKid Productions']",Shawn Ryan,88,7,"['Michael Chiklis', 'Catherine Dent', 'Walton Goggins', 'Michael Jace', 'Jay Karnes', 'Benito Martinez', 'CCH Pounder', 'Kenny Johnson', 'Cathy Cahlin Ryan', 'David Rees Snell', 'Paula Garcés', 'Glenn Close', 'David Marciano']","['Cathy Cahlin Ryan', 'Autumn Chiklis', 'David Rees Snell', 'David Marciano', 'Michele Hicks', 'Paula Garcés', 'Melanie Myers', 'Matt Corboy', 'Chaney Kley', 'Anthony Anderson', 'F.J. Rio', 'Laurie Holden', 'Forest Whitaker', 'Nigel Gibbs', 'Onahoua Rodriguez']",['Shawn Ryan'],N.A.,"['Shawn Ryan', 'Scott Brazil', 'Glen Mazzara', 'Charles H. Eglee', 'Kurt Sutter', 'Scott Rosenbaum', 'Adam Fierro']",['Michael Chiklis'],['Rohn Schmidt'],N.A.
Downton Abbey,100,TV Series,No,2010,2015,8.7,"236,000","2,614",40,['ITV'],United Kingdom,['Drama'],"['Carnival Films', 'Masterpiece Theatre']",Julian Fellowes,47,6,"['Maggie Smith', 'Michelle Dockery', 'Laura Carmichael', 'Joanne Froggatt', 'Hugh Bonneville', 'Phyllis Logan', 'Elizabeth McGovern', 'Jim Carter', 'Brendan Coyle', 'Lesley Nicol', 'Sophie McShera', 'Robert James-Collier', 'Penelope Wilton', 'Allen Leech', 'Jessica Brown Findlay', 'Siobhan Finneran', 'Dan Stevens', 'Raquel Cassidy', 'Amy Nuttall', 'Matt Milne', 'Kevin Doyle', 'Lily James', 'Cara Theobold', 'Ed Speleers', 'David Robb', 'Amaëlle Cunningham', 'Rose Leslie', 'Thomas Howes']","['Kevin Doyle', 'David Robb', 'Samantha Bond', 'Jeremy Swift', 'Lily James', 'Fifi Hart', 'Paul Copley', 'Tom Cullen', 'Douglas Reith', 'Michael Fox', 'Julian Ovenden', 'Andrew Scarborough', 'Allen Leech', 'Sue Johnston', 'Cara Theobold']",['Julian Fellowes'],"['Julian Fellowes', 'Shelagh Stephenson', 'Tina Pepler']","['Julian Fellowes', 'Gareth Neame', 'Rebecca Eaton']","['Liz Trubridge', 'Nigel Marchant']",['Gavin Struthers'],N.A.
The Grand Tour,101,TV Series,No,2016,2024,8.7,"91,200","3,114",60,['Amazon'],United Kingdom,"['Comedy', 'Talk Show', 'Reality']","['W. Chump and Sons', 'Expectation Entertainment', 'Grand Tour Productions', 'Flat Four Films']",Andy Wilman,45,5,"['Jeremy Clarkson', 'Richard Hammond', 'James May', 'Abbie Eaton', 'Mike Skinner']","['Abbie Eaton', 'Mike Skinner', 'Carol Vorderman', 'Jeremy Renner', 'Armie Hammer', 'Charlize Theron', 'Simon Pegg', 'Jimmy Carr', 'Tim Burton', 'Diego Costa', 'Thibaut Courtois', 'Gary Cahill', 'Eden Hazard', 'David Hasselhoff', 'Brian Wilson']","['Jeremy Clarkson', 'Richard Hammond', 'James May', 'Andy Wilman']","['Jeremy Clarkson', 'Richard Hammond', 'James May', 'Richard Porter']",['Andy Wilman'],"['Chris Hale', 'Greg Vince', 'Richard Evans', 'Ronan Browne']",['Ben Joiner'],"['James Hart', 'Dan James', 'Chris Denton', 'Joe Orr']"
Battlestar Galactica,102,TV Series,No,2004,2009,8.7,"183,000","3,285",44,['Syfy'],Canada,"['Drama', 'Fantasy', 'Science Fiction', 'Action', 'Adventure']","['David Eick Productions', 'R&D TV', 'Universal Television', 'Universal Media Studios (UMS)', 'Universal Cable Productions']",Glen A. Larson,73,4,"['Edward James Olmos', 'Mary McDonnell', 'Jamie Bamber', 'Katee Sackhoff', 'James Callis', 'Tricia Helfer', 'Tahmoh Penikett', 'Grace Park', 'Michael Hogan', 'Aaron Douglas', 'Alessandro Juliani', 'Callum Keith Rennie', 'Kandyse McClure', 'Michael Trucco', 'Paul Campbell']","['Donnelly Rhodes', 'Bodie Olmos', 'Nicki Clyne', 'Leah Cairns', 'Rekha Sharma', 'Richard Hatch', 'Kandyse McClure', 'Kate Vernon', 'Jen Halley', 'Callum Keith Rennie', 'Brad Dryborough', 'Luciana Carro', 'Lucy Lawless', 'Matthew Bennett', 'Dean Stockwell']",N.A.,N.A.,"['Ronald D. Moore', 'David Eick']",N.A.,N.A.,N.A.
